,wind_dir,wind_speed,uStar,zol,sigmaV
0,41,0.62,0.297434647626178,0.2128,1.3
1,106,0.41,0.197877391756957,0.2128,1.3
2,1,0.64,0.309921248694799,0.2128,1.3
3,81,0.68,0.325600815870565,0.2128,1.3
4,113,0.9,0.430857558987305,0.2128,1.3
5,142,0.97,0.464349135157394,0.2128,1.3
6,156,1.09,0.521793045024397,0.2128,1.3
7,125,0.8,0.383027986927041,0.2128,1.3
8,182,0.73,0.349600408405379,0.2128,1.3
9,174,0.91,0.435823031958155,0.2128,1.3
10,144,1,0.478905333797742,0.2128,1.3
11,71,0.85,0.40714058802822,0.2128,1.3
12,145,0.89,0.426337388315741,0.2128,1.3
13,8,1,0.493167092263327,0.2128,1.3
14,126,1.19,0.570176660801943,0.2128,1.3
15,56,1.11,0.533078238455137,0.2128,1.3
16,76,1.38,0.661033706419061,0.2128,1.3
17,176,1.43,0.684910560867073,0.2128,1.3
18,257,0.81,0.389894418863894,0.2128,1.3
19,237,0.87,0.418151827362336,0.2128,1.3
20,223,1.3,0.625736550812993,0.2128,1.3
21,60,1.38,0.66118202733713,0.2128,1.3
22,69,1.25,0.599126767288205,0.2128,1.3
23,102,1.3,0.622959423827906,0.2128,1.3
24,4,1.08,0.518139820591557,0.2128,1.3
25,289,1.23,0.589528189360522,0.2128,1.3
26,316,1.38,0.661170304728876,0.2128,1.3
27,317,0.68,0.329263713238806,0.2128,1.3
28,252,1.37,0.656309259129298,0.2128,1.3
29,282,1.1,0.527363622460771,0.2128,1.3
30,207,1.09,0.522661509802975,0.2128,1.3
31,259,0.82,0.394587823151401,0.2128,1.3
32,236,1.15,0.55120344237753,0.2128,1.3
33,115,1.66,0.794896912066146,0.2128,1.3
34,92,1.28,0.613236107311032,0.2128,1.3
35,51,1.16,0.555993505794892,0.2128,1.3
36,118,1.31,0.627434732134844,0.2128,1.3
37,147,1,0.479405511218777,0.2128,1.3
38,138,0.82,0.393255497179699,0.2128,1.3
39,153,0.73,0.350702904321654,0.2128,1.3
40,5,1.23,0.589082015532209,0.2128,1.3
41,7,1.3,0.62259226635562,0.2128,1.3
42,15,0.95,0.456345430108279,0.2128,1.3
43,313,1.24,0.593826743019877,0.2128,1.3
44,327,1.68,0.80962459761212,0.2128,1.3
45,331,1.21,0.591868821061741,0.2128,1.3
46,28,0.67,0.321605325096065,0.2128,1.3
47,330,0.65,0.312091248537702,0.2128,1.3
48,97,0.31,-2.77219674783455E-11,0.2128,1.3
49,78,0.29,0.143530035149617,0.2128,1.3
50,196,0.34,0.165172663727174,0.2128,1.3
51,129,0.37,0.178921314099234,0.2128,1.3
52,119,1.15,0.568055402631869,0.2128,1.3
53,102,0.94,0.450023581101529,0.2128,1.3
54,101,0.39,0.186945574516782,0.2128,1.3
55,157,0.39,0.186920535196226,0.2128,1.3
56,108,0.71,0.339967434027525,0.2128,1.3
57,159,0.37,0.178630825212803,0.2128,1.3
58,85,0.39,0.189615431920291,0.2128,1.3
59,188,0.38,0.185612293684253,0.2128,1.3
60,225,0.35,0.173412094095575,0.2128,1.3
61,92,0.4,0.195027220313683,0.2128,1.3
62,57,0.42,0.204029501946883,0.2128,1.3
63,41,0.49,0.236821073007025,0.2128,1.3
64,18,0.44,0.213231462079304,0.2128,1.3
